3,2,5,1,1,1,2,1,3,7,1,1,4,1,3,4,1,1,3,2,3,7,1,1,3,2,3,2,1,1,4,1,5,9,1,1,4,2,5,2,1,9,1,1,5,8,1,1,4,1,3,4,1,1,4,1,5,9,1,1,2,1,3,7,1,1,3,2,3,2,1,1,1,1,5,8,1,1,4,2,5,2,1,9,3,2,5,1,1,1,3,2,3,7,1,1,4,2,5,2,1,9,4,1,5,9,1,1,4,1,3,4,1,1,3,2,5,1,1,1,2,1,3,7,1,1,3,2,3,2,1,1,1,1,5,8,1,1,3,2,3,7,1,1,3,2,3,2,1,1,1,1,5,8,1,1,2,1,3,7,1,1,4,1,5,9,1,1,3,2,5,1,1,1,4,1,3,4,1,1,4,2,5,2,1,9,3,2,3,7,1,1
5,4,3,1,1,1,1,2,3,1,1,1,6,2,3,7,1,1,4,3,5,8,1,1,2,3,5,9,1,1,5,5,3,6,1,1,1,3,3,9,1,1,4,3,3,7,1,1,6,2,3,7,1,1,5,5,3,6,1,1,1,2,3,1,1,1,2,3,5,9,1,1,4,3,3,7,1,1,1,3,3,9,1,1,5,4,3,1,1,1,4,3,5,8,1,1,1,3,3,9,1,1,5,5,3,6,1,1,6,2,3,7,1,1,5,4,3,1,1,1,1,2,3,1,1,1,2,3,5,9,1,1,4,3,3,7,1,1,4,3,5,8,1,1,2,3,5,9,1,1,4,3,3,7,1,1,1,2,3,1,1,1,5,5,3,6,1,1,5,4,3,1,1,1,6,2,3,7,1,1,1,3,3,9,1,1,4,3,5,8,1,1
1,5,3,6,1,1,6,2,5,9,1,1,1,3,5,3,1,1,1,4,5,7,1,1,4,4,5,1,1,1,4,6,5,3,1,1,4,3,5,3,1,1,5,3,5,2,1,1,1,3,5,3,1,1,4,6,5,3,1,1,6,2,5,9,1,1,4,4,5,1,1,1,5,3,5,2,1,1,4,3,5,3,1,1,1,5,3,6,1,1,1,4,5,7,1,1,4,3,5,3,1,1,4,6,5,3,1,1,1,3,5,3,1,1,1,5,3,6,1,1,6,2,5,9,1,1,4,4,5,1,1,1,5,3,5,2,1,1,1,4,5,7,1,1,4,4,5,1,1,1,5,3,5,2,1,1,6,2,5,9,1,1,4,6,5,3,1,1,1,5,3,6,1,1,1,3,5,3,1,1,4,3,5,3,1,1,1,4,5,7,1,1
5,5,5,6,1,1,3,4,5,7,1,1,4,3,5,7,1,1,5,5,3,5,1,1,5,5,3,8,1,1,6,6,3,1,1,1,6,3,3,6,1,1,4,4,3,7,1,1,4,3,5,7,1,1,6,6,3,1,1,1,3,4,5,7,1,1,5,5,3,8,1,1,4,4,3,7,1,1,6,3,3,6,1,1,5,5,5,6,1,1,5,5,3,5,1,1,6,3,3,6,1,1,6,6,3,1,1,1,4,3,5,7,1,1,5,5,5,6,1,1,3,4,5,7,1,1,5,5,3,8,1,1,4,4,3,7,1,1,5,5,3,5,1,1,5,5,3,8,1,1,4,4,3,7,1,1,3,4,5,7,1,1,6,6,3,1,1,1,5,5,5,6,1,1,4,3,5,7,1,1,6,3,3,6,1,1,5,5,3,5,1,1
6,7,5,3,1,1,1,7,3,4,1,1,2,5,3,2,1,9,1,9,3,2,1,1,4,8,3,9,1,1,5,9,3,8,1,1,1,4,5,9,1,1,4,8,5,1,1,1,2,5,3,2,1,9,5,9,3,8,1,1,1,7,3,4,1,1,4,8,3,9,1,1,4,8,5,1,1,1,1,4,5,9,1,1,6,7,5,3,1,1,1,9,3,2,1,1,1,4,5,9,1,1,5,9,3,8,1,1,2,5,3,2,1,9,6,7,5,3,1,1,1,7,3,4,1,1,4,8,3,9,1,1,4,8,5,1,1,1,1,9,3,2,1,1,4,8,3,9,1,1,4,8,5,1,1,1,1,7,3,4,1,1,5,9,3,8,1,1,6,7,5,3,1,1,2,5,3,2,1,9,1,4,5,9,1,1,1,9,3,2,1,1
2,10,3,7,1,1,1,8,5,4,1,1,1,8,3,5,1,1,4,9,5,8,1,1,5,8,5,6,1,1,6,10,5,8,1,1,3,7,3,6,1,1,4,9,3,2,1,1,1,8,3,5,1,1,6,10,5,8,1,1,1,8,5,4,1,1,5,8,5,6,1,1,4,9,3,2,1,1,3,7,3,6,1,1,2,10,3,7,1,1,4,9,5,8,1,1,3,7,3,6,1,1,6,10,5,8,1,1,1,8,3,5,1,1,2,10,3,7,1,1,1,8,5,4,1,1,5,8,5,6,1,1,4,9,3,2,1,1,4,9,5,8,1,1,5,8,5,6,1,1,4,9,3,2,1,1,1,8,5,4,1,1,6,10,5,8,1,1,2,10,3,7,1,1,1,8,3,5,1,1,3,7,3,6,1,1,4,9,5,8,1,1
3,11,5,5,1,1,4,8,3,7,1,1,1,9,5,2,1,1,1,10,3,1,1,1,1,9,3,2,1,1,3,12,5,4,1,1,6,7,3,5,1,1,6,10,3,6,1,1,1,9,5,2,1,1,3,12,5,4,1,1,4,8,3,7,1,1,1,9,3,2,1,1,6,10,3,6,1,1,6,7,3,5,1,1,3,11,5,5,1,1,1,10,3,1,1,1,6,7,3,5,1,1,3,12,5,4,1,1,1,9,5,2,1,1,3,11,5,5,1,1,4,8,3,7,1,1,1,9,3,2,1,1,6,10,3,6,1,1,1,10,3,1,1,1,1,9,3,2,1,1,6,10,3,6,1,1,4,8,3,7,1,1,3,12,5,4,1,1,3,11,5,5,1,1,1,9,5,2,1,1,6,7,3,5,1,1,1,10,3,1,1,1
6,12,3,1,1,1,3,10,3,4,1,9,4,9,3,7,1,1,4,11,5,1,1,9,2,10,5,2,1,1,6,12,3,5,1,1,4,9,5,7,1,1,2,11,5,1,1,1,4,9,3,7,1,1,6,12,3,5,1,1,3,10,3,4,1,9,2,10,5,2,1,1,2,11,5,1,1,1,4,9,5,7,1,1,6,12,3,1,1,1,4,11,5,1,1,9,4,9,5,7,1,1,6,12,3,5,1,1,4,9,3,7,1,1,6,12,3,1,1,1,3,10,3,4,1,9,2,10,5,2,1,1,2,11,5,1,1,1,4,11,5,1,1,9,2,10,5,2,1,1,2,11,5,1,1,1,3,10,3,4,1,9,6,12,3,5,1,1,6,12,3,1,1,1,4,9,3,7,1,1,4,9,5,7,1,1,4,11,5,1,1,9
9,1,5,5,1,1,6,11,5,1,1,1,2,12,5,2,1,1,2,12,5,9,1,1,11,4,3,4,1,9,9,1,3,3,1,1,5,10,5,8,1,1,10,1,3,2,1,1,2,12,5,2,1,1,9,1,3,3,1,1,6,11,5,1,1,1,11,4,3,4,1,9,10,1,3,2,1,1,5,10,5,8,1,1,9,1,5,5,1,1,2,12,5,9,1,1,5,10,5,8,1,1,9,1,3,3,1,1,2,12,5,2,1,1,9,1,5,5,1,1,6,11,5,1,1,1,11,4,3,4,1,9,10,1,3,2,1,1,2,12,5,9,1,1,11,4,3,4,1,9,10,1,3,2,1,1,6,11,5,1,1,1,9,1,3,3,1,1,9,1,5,5,1,1,2,12,5,2,1,1,5,10,5,8,1,1,2,12,5,9,1,1
7,2,3,3,1,1,10,2,5,5,1,1,12,2,5,1,1,1,11,2,3,2,1,1,7,5,5,7,1,1,10,1,3,4,1,1,7,1,3,7,1,1,10,2,5,9,1,1,12,2,5,1,1,1,10,1,3,4,1,1,10,2,5,5,1,1,7,5,5,7,1,1,10,2,5,9,1,1,7,1,3,7,1,1,7,2,3,3,1,1,11,2,3,2,1,1,7,1,3,7,1,1,10,1,3,4,1,1,12,2,5,1,1,1,7,2,3,3,1,1,10,2,5,5,1,1,7,5,5,7,1,1,10,2,5,9,1,1,11,2,3,2,1,1,7,5,5,7,1,1,10,2,5,9,1,1,10,2,5,5,1,1,10,1,3,4,1,1,7,2,3,3,1,1,12,2,5,1,1,1,7,1,3,7,1,1,11,2,3,2,1,1
